"tipo_eleccion";"anno";"mes";"vuelta";"codigo_ccaa";"codigo_provincia";"codigo_distrito_electoral";"ambito_territorial";"poblacion_derecho";"n_diputados";"numero_mesas";"censo_ine";"censo_escrutinio";"censo_cere";"votantes_cere";"participacion_1";"participacion_2";"votos_blancos";"votos_nulos";"votos_candidaturas";"votos_afirmativos";"votos_negativos";"codigo_partido_nacional";"codigo_partido_autonomia";"codigo_partido_provincia";"codigo_partido";"denominacion";"siglas";"votos";"diputados";"datos_oficiales"
"02";"2019";"11";"1";"01";"14";"9";"Córdoba";785240;6;935;648338;648341;0;0;234504;358996;5405;7399;438971;0;0;"000098";"000098";"000098";"000098";"POR UN MUNDO MÁS JUSTO";"PUM+J";478;0;"S"
"02";"2019";"11";"1";"01";"14";"9";"Córdoba";785240;6;935;648338;648341;0;0;234504;358996;5405;7399;438971;0;0;"000064";"000064";"000064";"000064";"PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA";"PCTE";321;0;"S"
"02";"2019";"11";"1";"01";"18";"9";"Granada";912075;7;1100;755007;755007;0;0;254747;389916;4528;8123;478251;0;0;"000094";"000094";"000094";"000094";"PARTIDO SOCIALISTA OBRERO ESPAÑOL";"PSOE";160190;3;"S"
"02";"2019";"11";"1";"01";"18";"9";"Granada";912075;7;1100;755007;755007;0;0;254747;389916;4528;8123;478251;0;0;"000083";"000083";"000083";"000083";"PARTIDO POPULAR";"PP";105192;2;"S"
"02";"2019";"11";"1";"01";"18";"9";"Granada";912075;7;1100;755007;755007;0;0;254747;389916;4528;8123;478251;0;0;"000116";"000116";"000116";"000116";"VOX";"VOX";99928;1;"S"
"02";"2019";"11";"1";"01";"18";"9";"Granada";912075;7;1100;755007;755007;0;0;254747;389916;4528;8123;478251;0;0;"000078";"000081";"000081";"000081";"UNIDAS PODEMOS";"PODEMOS-IU LV CA";59331;1;"S"
"02";"2019";"11";"1";"01";"18";"9";"Granada";912075;7;1100;755007;755007;0;0;254747;389916;4528;8123;478251;0;0;"000018";"000018";"000018";"000018";"CIUDADANOS-PARTIDO DE LA CIUDADANÍA";"Cs";37772;0;"S"
"02";"2019";"11";"1";"01";"18";"9";"Granada";912075;7;1100;755007;755007;0;0;254747;389916;4528;8123;478251;0;0;"000046";"000044";"000044";"000044";"MÁS PAÍS-ANDALUCÍA";"MÁS PAÍS-AN";8629;0;"S"
"02";"2019";"11";"1";"01";"18";"9";"Granada";912075;7;1100;755007;755007;0;0;254747;389916;4528;8123;478251;0;0;"000055";"000055";"000055";"000055";"PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL";"PACMA";4095;0;"S"
"02";"2019";"11";"1";"01";"18";"9";"Granada";912075;7;1100;755007;755007;0;0;254747;389916;4528;8123;478251;0;0;"000098";"000098";"000098";"000098";"POR UN MUNDO MÁS JUSTO";"PUM+J";624;0;"S"
"02";"2019";"11";"1";"01";"18";"9";"Granada";912075;7;1100;755007;755007;0;0;254747;389916;4528;8123;478251;0;0;"000009";"000009";"000009";"000009";"ANDALUCÍA POR SÍ";"AxSÍ";619;0;"S"
"02";"2019";"11";"1";"01";"18";"9";"Granada";912075;7;1100;755007;755007;0;0;254747;389916;4528;8123;478251;0;0;"000101";"000101";"000101";"000101";"RECORTES CERO-GRUPO VERDE";"RECORTES CERO-GV";545;0;"S"
"02";"2019";"11";"1";"01";"18";"9";"Granada";912075;7;1100;755007;755007;0;0;254747;389916;4528;8123;478251;0;0;"000012";"000012";"000012";"000012";"CONVERGENCIA ANDALUZA";"CAnda";520;0;"S"
