;codigo_ccaa;codigo_provincia;ambito_territorial;poblacion_derecho;n_diputados;numero_mesas;censo_ine;censo_escrutinio;participacion_2;votos_blancos;votos_nulos;votos_candidaturas;denominacion;siglas;votos;diputados;porcentaje_participacion;porcentaje_votos_partido;porcentaje_votos_nulos;porcentaje_votos_blancos;porcentaje_diputados_obtenidos
78;1;29;Málaga;1641121;11;1662;1197688;1197688;618588;8358;10098;748363;MÁS PAÍS-ANDALUCÍA;MÁS PAÍS-AN;14112;0;51.65;2.28;1.63;1.35;0.0
79;1;29;Málaga;1641121;11;1662;1197688;1197688;618588;8358;10098;748363;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;11089;0;51.65;1.79;1.63;1.35;0.0
80;1;29;Málaga;1641121;11;1662;1197688;1197688;618588;8358;10098;748363;ANDALUCÍA POR SÍ;AxSÍ;1686;0;51.65;0.27;1.63;1.35;0.0
81;1;29;Málaga;1641121;11;1662;1197688;1197688;618588;8358;10098;748363;PARTIDO COMUNISTA OBRERO ESPAÑOL;PCOE;1265;0;51.65;0.2;1.63;1.35;0.0
82;1;29;Málaga;1641121;11;1662;1197688;1197688;618588;8358;10098;748363;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;1261;0;51.65;0.2;1.63;1.35;0.0
83;1;29;Málaga;1641121;11;1662;1197688;1197688;618588;8358;10098;748363;POR UN MUNDO MÁS JUSTO;PUM+J;904;0;51.65;0.15;1.63;1.35;0.0
84;1;29;Málaga;1641121;11;1662;1197688;1197688;618588;8358;10098;748363;PARTIDO COMUNISTA DEL PUEBLO ANDALUZ;PCPA;581;0;51.65;0.09;1.63;1.35;0.0
85;1;29;Málaga;1641121;11;1662;1197688;1197688;618588;8358;10098;748363;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;PCTE;381;0;51.65;0.06;1.63;1.35;0.0
86;1;41;Sevilla;1939887;12;2560;1547735;1547744;869323;13793;17729;1039725;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;380385;5;56.17;43.76;2.04;1.59;41.67
87;1;41;Sevilla;1939887;12;2560;1547735;1547744;869323;13793;17729;1039725;VOX;VOX;188813;2;56.17;21.72;2.04;1.59;16.67
88;1;41;Sevilla;1939887;12;2560;1547735;1547744;869323;13793;17729;1039725;PARTIDO POPULAR;PP;188166;2;56.17;21.65;2.04;1.59;16.67
89;1;41;Sevilla;1939887;12;2560;1547735;1547744;869323;13793;17729;1039725;UNIDAS PODEMOS;PODEMOS-IU LV CA;153435;2;56.17;17.65;2.04;1.59;16.67
90;1;41;Sevilla;1939887;12;2560;1547735;1547744;869323;13793;17729;1039725;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;83575;1;56.17;9.61;2.04;1.59;8.33
91;1;41;Sevilla;1939887;12;2560;1547735;1547744;869323;13793;17729;1039725;MÁS PAÍS-ANDALUCÍA;MÁS PAÍS-AN;22388;0;56.17;2.58;2.04;1.59;0.0
92;1;41;Sevilla;1939887;12;2560;1547735;1547744;869323;13793;17729;1039725;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;12035;0;56.17;1.38;2.04;1.59;0.0
93;1;41;Sevilla;1939887;12;2560;1547735;1547744;869323;13793;17729;1039725;ANDALUCÍA POR SÍ;AxSÍ;5183;0;56.17;0.6;2.04;1.59;0.0
94;1;41;Sevilla;1939887;12;2560;1547735;1547744;869323;13793;17729;1039725;PARTIDO COMUNISTA OBRERO ESPAÑOL;PCOE;1495;0;56.17;0.17;2.04;1.59;0.0
95;1;41;Sevilla;1939887;12;2560;1547735;1547744;869323;13793;17729;1039725;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;1456;0;56.17;0.17;2.04;1.59;0.0
96;1;41;Sevilla;1939887;12;2560;1547735;1547744;869323;13793;17729;1039725;POR UN MUNDO MÁS JUSTO;PUM+J;1402;0;56.17;0.16;2.04;1.59;0.0
97;1;41;Sevilla;1939887;12;2560;1547735;1547744;869323;13793;17729;1039725;PARTIDO COMUNISTA DEL PUEBLO ANDALUZ;PCPA;842;0;56.17;0.1;2.04;1.59;0.0
98;1;41;Sevilla;1939887;12;2560;1547735;1547744;869323;13793;17729;1039725;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;PCTE;550;0;56.17;0.06;2.04;1.59;0.0
116;2;22;Huesca;219345;3;399;172721;172722;89512;1363;1194;112234;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;38101;2;51.82;42.57;1.33;1.52;66.67
117;2;22;Huesca;219345;3;399;172721;172722;89512;1363;1194;112234;PARTIDO POPULAR;PP;29804;1;51.82;33.3;1.33;1.52;33.33
118;2;22;Huesca;219345;3;399;172721;172722;89512;1363;1194;112234;VOX;VOX;17237;0;51.82;19.26;1.33;1.52;0.0
119;2;22;Huesca;219345;3;399;172721;172722;89512;1363;1194;112234;UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN;PODEMOS-IU-;14035;0;51.82;15.68;1.33;1.52;0.0
120;2;22;Huesca;219345;3;399;172721;172722;89512;1363;1194;112234;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;9244;0;51.82;10.33;1.33;1.52;0.0
121;2;22;Huesca;219345;3;399;172721;172722;89512;1363;1194;112234;CHUNTA ARAGONESISTA;CHA;2000;0;51.82;2.23;1.33;1.52;0.0
122;2;22;Huesca;219345;3;399;172721;172722;89512;1363;1194;112234;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;735;0;51.82;0.82;1.33;1.52;0.0
123;2;22;Huesca;219345;3;399;172721;172722;89512;1363;1194;112234;ESCAÑOS EN BLANCO;EB;393;0;51.82;0.44;1.33;1.52;0.0
124;2;22;Huesca;219345;3;399;172721;172722;89512;1363;1194;112234;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;198;0;51.82;0.22;1.33;1.52;0.0
125;2;22;Huesca;219345;3;399;172721;172722;89512;1363;1194;112234;POR UN MUNDO MÁS JUSTO;PUM+J;153;0;51.82;0.17;1.33;1.52;0.0
126;2;22;Huesca;219345;3;399;172721;172722;89512;1363;1194;112234;PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA;PCPE;100;0;51.82;0.11;1.33;1.52;0.0
