;codigo_ccaa;codigo_provincia;ambito_territorial;poblacion_derecho;n_diputados;numero_mesas;censo_ine;censo_escrutinio;participacion_2;votos_blancos;votos_nulos;votos_candidaturas;denominacion;siglas;votos;diputados;porcentaje_participacion;porcentaje_votos_partido;porcentaje_votos_nulos;porcentaje_votos_blancos;porcentaje_diputados_obtenidos
740;14;99;País Vasco;2199088;18;2669;1792550;1792554;989343;6624;6687;1177411;PARTIDO COMUNISTA DE LOS TRABAJADORES DE EUSKADI/EUSKADIKO LANGILEEN ALDERDI KOMUNISTA;PCTE/ELAK;982;0;55.19;0.1;0.68;0.67;0.0
741;14;99;País Vasco;2199088;18;2669;1792550;1792554;989343;6624;6687;1177411;ESCAÑOS EN BLANCO-AULKI ZURIAK;EB;570;0;55.19;0.06;0.68;0.67;0.0
742;14;99;País Vasco;2199088;18;2669;1792550;1792554;989343;6624;6687;1177411;PARTIDO DE ACCIÓN SOLIDARIA EUROPEA;SOLIDARIA;270;0;55.19;0.03;0.68;0.67;0.0
758;15;99;Región de Murcia;1478509;10;1685;1061840;1061841;595322;5253;7418;709674;VOX;VOX;199829;3;56.07;33.57;1.25;0.88;30.0
759;15;99;Región de Murcia;1478509;10;1685;1061840;1061841;595322;5253;7418;709674;PARTIDO POPULAR;PP;189500;3;56.07;31.83;1.25;0.88;30.0
760;15;99;Región de Murcia;1478509;10;1685;1061840;1061841;595322;5253;7418;709674;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;177154;3;56.07;29.76;1.25;0.88;30.0
761;15;99;Región de Murcia;1478509;10;1685;1061840;1061841;595322;5253;7418;709674;UNIDAS PODEMOS;PODEMOS-IU;63461;1;56.07;10.66;1.25;0.88;10.0
762;15;99;Región de Murcia;1478509;10;1685;1061840;1061841;595322;5253;7418;709674;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;53201;0;56.07;8.94;1.25;0.88;0.0
763;15;99;Región de Murcia;1478509;10;1685;1061840;1061841;595322;5253;7418;709674;MÁS PAÍS-EQUO;MÁS PAÍS-EQ;13439;0;56.07;2.26;1.25;0.88;0.0
764;15;99;Región de Murcia;1478509;10;1685;1061840;1061841;595322;5253;7418;709674;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;7005;0;56.07;1.18;1.25;0.88;0.0
765;15;99;Región de Murcia;1478509;10;1685;1061840;1061841;595322;5253;7418;709674;SOMOS REGIÓN;SOMOS REGIÓ;2328;0;56.07;0.39;1.25;0.88;0.0
766;15;99;Región de Murcia;1478509;10;1685;1061840;1061841;595322;5253;7418;709674;PARTIDO COMUNISTA OBRERO ESPAÑOL;PCOE;990;0;56.07;0.17;1.25;0.88;0.0
767;15;99;Región de Murcia;1478509;10;1685;1061840;1061841;595322;5253;7418;709674;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;881;0;56.07;0.15;1.25;0.88;0.0
768;15;99;Región de Murcia;1478509;10;1685;1061840;1061841;595322;5253;7418;709674;PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA;PCPE;490;0;56.07;0.08;1.25;0.88;0.0
769;15;99;Región de Murcia;1478509;10;1685;1061840;1061841;595322;5253;7418;709674;IZQUIERDA EN POSITIVO;IZQP;434;0;56.07;0.07;1.25;0.88;0.0
770;15;99;Región de Murcia;1478509;10;1685;1061840;1061841;595322;5253;7418;709674;POR UN MUNDO MÁS JUSTO;PUM+J;431;0;56.07;0.07;1.25;0.88;0.0
